a	A		sumti or		logical connective: sumti afterthought or
dikca		dic	electric	'charge'	x1 is electricity [electric charge or current] in/on x2 of polarity/quantity x3 (def. negative)	[(x3, a quantifier, can be expressed as a simple polarity using the numerals for positive and negative ma'u and ni'u); (explicitly) negative (= dutydikca), positive (= mardikca); current (= (sel)muvdikca; again default negative/electron current), charge (= klodikca, stadikca)]; (cf. lindi, xampo, flecu, maksi, tcana)
diklo		klo	local		x1 is local to x2; x1 is confined to locus x2 within range x3	[indicates a specific location/value within a range; e.g. a hits b.  What is the locality on b that a hits?  Thus x1 is associated with a specific narrow region/interval x2 of wider space/range x3]; (cf. cmavo list di'o, jibni, zvati, cpana, nenri, lamji, stuzi, tcila)
dikni		dik	regular	'cyclical'	x1 is regular/cyclical/periodic in property (ka)/activity x2 with period/interval x3	[also uniform; resonant (= dikslicai)]; (cf. slilu, rilti, xutla, manfo, boxna)
dilcu			quotient	'division'	x1 is a quotient of 'x2/x3' [dividend x2 divided by divisor x3], leaving remainder x4	(cf. frinu, fendi, katna, parbi, mekso)
dilnu		dil	cloud		x1 is a cloud/mass of clouds of material x2 in air mass x3 at floor/base elevation x4	(cf. carvi, tcima)
dimna		dim	fate	'doom'	x1 is a fate/destiny of x2; [doom, curse are mabla-forms]; x2 is fated/predestined/doomed to x1	[fated/destined/doomed (= seldimna)]; (cf. dapma)
dinju		dij di'u	building		x1 is a building/edifice for purpose x2	(cf. ginka, zdani, zarci)
dinko		di'o	nail		x1 is a nail/tack [pointed driven/frictional fastener] of type/size x2 (ka), made of material x3	(x2 also can be ni abstraction); (cf. pijne, lasna)
dirba		dib	dear		x1 is dear/precious/darling to x2; x1 is emotionally valued by x2	[x1 may be a specific object, a commodity (mass), an event, or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= posydirba for unambiguous semantics)]; (cf. tcika, kargu, vamji, vajni, pleji, jadni, jemna)
dirce		di'e	radiate		x1 radiates/emits x2 under conditions x3	(cf. gusni)
dirgo		dig	drop		x1 is a drop [small, cohesive shape] of material [liquid/vapor] x2 in surrounding material x3	(cf. daplu, bidju)
dizlo		diz dzi	low		x1 is low/down/downward in frame of reference x2 as compared with baseline/standard height x3	[also lower; x3 is generally some defined distance above a zero point/baseline, or is that baseline itself]; (cf. cnita, galtu, gapru, farna, loldi)
djacu		jac jau	water	'aqua-'	x1 is made of/contains/is a quantity/expanse of water; (adjective:) x1 is aqueous/[aquatic]	[aquatic (= jaupli)]; (cf. lalxu, rirxe, xamsi, limna, litki, lumci, bumru, jinto)
djedi		dje dei	full day		x1 is x2 full days in duration (default is 1 day) by standard x3; (adjective:) x1 is diurnal	[today (= cabdei); tomorrow (= bavlamdei); yesterday (= prulamdei)]; (cf. donri, detri, jeftu, masti, nanca, nicte, tcika)
djica		dji	desire		x1 desires/wants/wishes x2 (event/state) for purpose x3	[if desire is for an object, this is sumti-raising; use tu'a in x2 (or use lujvo = po'edji)]; (cf. taske, xagji, mukti, nitcu, nelci, pacna, prami, rigni, trina, xebni, xlura)
djine		jin	ring		x1 is a ring/annulus/torus/circle [shape/form] of material x2, inside diam. x3, outside diam. x4	[also ellipse, oval (= jincla); (usage has been for near-circles, such as tight spirals, even if not closed loops)]; [also band, belt, encircle (= jinsru)]; (cf. clupa, cukla, dasri, karli, sovda, sruri, konju)
djuno		jun ju'o	know		x1 knows fact(s) x2 (du'u) about subject x3 by epistemology x4	[words usable for epistemology typically have a du'u place; know how to - implying knowledge of method but not necessarily having the ability to practice (= tadjyju'o)] (cf. know/familiar with: se slabu, na'e cnino, na'e fange; cmavo list du'o, cilre, certu, facki, jijnu, jimpe, senpi, smadi, kakne, birti, mipri, morji, saske, viska)
do	KOhA3	don doi	you		pro-sumti: you listener(s); identified by vocative
do'a	UI3		generously		discursive: generously - parsimoniously	(cf. dunda)
do'anai	UI*3		parsimoniously		discursive: generously - parsimoniously
do'e	BAI		unspecif modal		elliptical/unspecified modal
do'i	KOhA2		unspecif utterance		pro-sumti: elliptical/unspecified utterance variable
do'o	KOhA3		you and others		pro-sumti: you the listener & others unspecified
do'u	DOhU		end vocative		elidable terminator: end vocative (often elidable)
doi	DOI		vocative marker		generic vocative marker; identifies intended listener; elidable after COI
doido'u	DOI*		O You!		generic vocative address to intended listener;
donri		dor do'i	daytime		x1 is the daytime of day x2 at location x3; (adjective:) x1 is diurnal (vs. nocturnal)	(cf. nicte, djedi, tcika)
dotco		dot do'o	German	'Deutsch'	x1 reflects German/Germanic culture/nationality/language in aspect x2	(cf. ropno)
draci			drama		x1 is a drama/play about x2 [plot/theme/subject] by dramatist x3 for audience x4 with actors x5	[x2 may also be a convention] (cf. finti, cukta, lisri, cfika)
drani		dra	correct	'right'	x1 is correct/proper/right/perfect in property/aspect x2 (ka) in situation x3 by standard x4	(cf. srera, mapti)
drata		dat	other		x1 isn't the-same-thing-as/is different-from/other-than x2 by standard x3; x1 is something else	(cf. mintu, frica)
drudi		rud dru	roof		x1 is a roof/top/ceiling/lid of x2	(cf. bitmu, stedu, galtu, gapru, loldi, marbi, gacri, mapku; a drudi is (designed to be) over/above something and shelters it from other things above the drudi, mapku)
du	GOhA	dub du'o	same identity as		identity selbri; = sign; x1 identically equals x2, x3, etc.; attached sumti refer to same thing	[It is very un-Lojbanic to translate the generic English copula 'is' by this word]; (cf. mintu)
du'a	FAhA1		east of		location tense relation/direction; east of
du'e	PA4		too many		digit/number: too many; subjective
du'emei	MOI*		is too many		quantifier selbri: convert too many to cardinal selbri; x1 is a set with too many members x2
du'eroi	ROI*		too many times		tense interval modifier: too many times objective tense, defaults as time tense
du'i	BAI		as much as		dunli modal, 1st place (equalled by)              equally; as much as ...
du'o	BAI		according to		djuno modal, 1st place (info source)            authoritatively; according to ...; known by ...
du'u	NU	dum	bridi abstract		abstractor: predication/bridi abstractor; x1 is predication [bridi] expressed in sentence x2	(cf. mintu, dunli)
dugri		dug	logarithm		x1 is the logarithm of x2 with base x3	(cf. tenfa)
dukse		dus du'e	excess		x1 is an excess of/too much of x2 by standard x3	[cloying (= maldu'e, tolpu'adu'e)]; (cf. bancu, banzu, ricfu, zmadu)
dukti		dut	opposite	'contrary'	x1 is polar opposite from/contrary to x2 in property/on scale x3 (property/si'o)	(cf. ranxi, ragve, fatne)
dunda		dud du'a	give	'donate'	x1 [donor] gives/donates gift/present x2 to recipient/beneficiary x3 [without payment/exchange]	[also grants; x3 is a receiver (= terdu'a for reordered places); the Lojban doesn't distinguish between or imply possession transfer or sharing; x2 may be a specific object, a commodity (mass), an event, or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= posydu'a, posyseldu'a for unambiguous semantics)]; (cf. benji, muvdu, canja, pleji, vecnu, friti, sfasa, dapma, cnemu, prali)
dunja		duj	freeze	'jell'	x1 freezes/jells/solidifies at temperature x2 and pressure x3	(cf. febvi, lunsa, runme, sligu)
dunku		duk du'u	anguish		x1 is anguished/distressed/emotionally wrought/stressed by x2	(cf. fengu, surla)
dunli		dun du'i	equal		x1 is equal/congruent to/as much as x2 in property/dimension/quantity x3	[same in quantity/quality (not necessarily in identity); 'analogy' may be expressed as the equivalence of two properties of similarity (ka x1 simsa x2) and (ka x3 simsa x4)]; (cf. cmavo list du'i, satci, frica, simsa, mintu)
dunra		dur	winter		x1 is winter/wintertime [cold season] of year x2 at location x3	(cf. citsi, crisa, critu, vensa)
dy	BY2		d		letteral for d
dzena		dze	elder		x1 is an elder/ancestor of x2 by bond/tie/degree x3; x1's generation precedes x2's parents	(cf. patfu, rirni, tamne)
dzipo		zip zi'o	Antarctican		x1 reflects Antarctican culture/nationality/geography in aspect x2	(cf. ketco, friko, sralo, terdi)
e	A		sumti and		logical connective: sumti afterthought and
e'a	UI1		permission		attitudinal: granting permission - prohibiting	(cf. curmi)
e'anai	UI*1		prohibition		attitudinal: permission - prohibition
e'e	UI1		competence		attitudinal: competence - incompetence/inability	(cf. kakne, certu)
e'enai	UI*1		incompetence		attitudinal: competence - incompetence/inability
e'i	UI1		constraint		attitudinal: feeling constraint - independence - challenge/resistance against constraint	(cf. selri'u, seljimte)
e'icu'i	UI*1		independence		attitudinal: feeling constraint - independence - challenge/resistance against constraint
e'inai	UI*1		challenge		attitudinal: feeling constraint - independence - challenge/resistance against constraint
e'o	UI1		request		attitudinal: request - negative request	(cf. cpedu, pikci)
e'onai	UI*1		negative request		attitudinal: request - negative request
e'u	UI1		suggestion		attitudinal: suggestion - abandon suggest - warning	(cf. stidi, kajde)
e'ucu'i	UI*1		abandon suggestion		attitudinal: suggestion - abandon suggest - warning
e'unai	UI*1		warning		attitudinal: suggestion - abandon suggest - warning
ebu	BY*		e		letteral for e
ei	UI1		obligation		attitudinal: obligation - freedom	(cf. bilga, zifre)
einai	UI*1		freedom		attitudinal: obligation - freedom
enai	A*		sumti but not		logical connective: sumti afterthought x but not y
fa	FA		1st sumti place		sumti place tag: tag 1st sumti place
fa'a	FAhA4		towards point		location tense relation/direction; arriving at/directly towards ...
fa'e	BAI		reverse of		fatne modal, 1st place                            backwards; reverse of ...
fa'i	VUhU2		reciprocal of		unary mathematical operator: reciprocal; multiplicative inverse; [1/a]
fa'o	FAhO		end of text		unconditional end of text; outside regular grammar; used for computer input
fa'u	JOI		and respectively		non-logical connective: respectively; unmixed ordered distributed association
facki		fak fa'i	discover	'find'	x1 discovers/finds out x2 (du'u) about subject/object x3; x1 finds (fi) x3 (object)	(cf. cirko, djuno, jijnu, smadi, sisku)
fadni		fad	ordinary		x1 [member] is ordinary/common/typical/usual in property x2 (ka) among members of x3 (set)	[also: x2 is a normal/common/ordinary/typical property among set x3 (= selterfadni for reordered places); also regular, (mabla forms:) banal, trite, vulgar; (x3 is complete set)]; (cf. cafne, rirci, kampu, lakne, tcaci, cnano)
fagri		fag	fire		x1 is a fire/flame in fuel x2 burning-in/reacting-with oxidizer x3 (default air/oxygen)	(cf. jelca, sacki)
fai	FA		extra sumti place		sumti place tag: tag a sumti moved out of numbered place structure; used in modal conversions
falnu		fan	sail		x1 is a sail for gathering propelling material x2 on vehicle/motor x3	[waterwheel (= jacfanxi'u)]; (cf. bloti)
famti			aunt or uncle		x1 is an aunt/uncle of x2 by bond/tie x3; x1 is an associated member of x2's parent's generation	(cf. bruna, mamta, mensi, patfu, rirni, tamne)
fancu			function		x1 is a function/single-valued mapping from domain x2 to range x3 defined by expression/rule x4	(cf. mekso, bridi)
fange			alien	'foreign'	x1 is alien/foreign/[exotic]/unfamiliar to x2 in property x3 (ka)	(cf. cizra, jbena, ckini)
fanmo		fam fa'o	end	'final'	x1 is an end/finish/termination of thing/process x2; [not necessarily implying completeness]	[x1 is final/last/at the last; x1 is a terminal/terminus of x2; x1 is the final/terminated state of terminated process x2; x2 terminates/ceases/stops/halts at x1 (= selfa'o for reordered places)]; (cf. krasi, cfari, mulno, sisti, denpa, jipno, kojna, traji, krasi)
fanri			factory	'foundry'	x1 is a factory/foundry/industrial plant/mill producing x2 from materials x3	(cf. molki, gundi)
fanta			prevent		x1 prevents/keeps/stops/restrains/constrains event x2 from occurring	(cf. pinfu, bandu, zunti, rinju, jimte, bapli, rivbi)
fanva			translate		x1 translates text/utterance x2 to language x3 from language x4 with translation result x5	(cf. cusku, bangu)
fanza		faz	annoy		x1 (event) annoys/irritates/bothers/distracts x2	[also: is disruptive to]; (cf. fengu, raktu, dicra, tunta, zunti, jicla)
fapro		fap pro	oppose		x1 opposes/balances/contends against opponent(s) x2 (person/force ind./mass) about x3 (abstract)	[also resists]; (cf. bandu, bradi, darlu, damba, jivna, lanxe, rivbi, sarji, xarnu)
farlu		fal fa'u	fall		x1 falls/drops to x2 from x3 in gravity well/frame of reference x4	[note: things can fall in spin, thrust, or tide as well as gravity; (agentive "drop" = one of two lujvo: falcru and falri'a)] (cf. lafti, cpare, klama, sfubu)
farna		far fa'a	direction		x1 is the direction of x2 (object/event) from origin/in frame of reference x3	[x2 is towards x1 from x3 (= selfa'a for reordered places)]; (cf. zunle, pritu, galtu, gapru, cnita, dizlo, berti, snanu, stuna, stici, purci, balvi, lidne)
farvi		fav	develop	'evolve'	x1 develops/evolves towards/into x2 from x3 through stages x4	(cf. pruce, banro, makcu, ciste, cupra, ferti)
fasnu		fau	event	'happen'	x1 (event) is an event that happens/occurs/takes place; x1 is an incident/happening/occurrence	(cf. cmavo list fau, krefu, lifri, fatci, rapli; gasnu, zukte, if specifically agentive, banli)
fatci		fac	fact		x1 (du'u) is a fact/reality/truth/actuality, in the absolute	(cf. datni, jitfa, sucta, xanri, jetnu, fasnu, zasti, cfika, saske)
fatne		fat fa'e	reverse		x1 [sequence] is in reverse order from x2 [sequence]; x1 (object) is inverted from x2 (object)	[also opposite (one sense)]; (cf. cmavo list fa'e, dukti)
fatri		fai	distribute		x1 is distributed/allotted/allocated/shared among x2 with shares/portions x3; (x2/x3 fa'u)	[also spread, shared out, apportioned; agentive distribution (= fairgau, fairzu'e)]; (cf. cmavo list fa'u, fendi, preja, katna, tcana)
fau	BAI		in the event of		fasnu modal, 1st place (non-causal)               in the event of ...
fe	FA		2nd sumti place		sumti place tag: tag 2nd sumti place
fe'a	VUhU3		nth root of		binary mathematical operator: nth root of; inverse power [a to the 1/b power]
fe'e	FEhE		space aspects		mark space interval distributive aspects; labels interval tense modifiers as location-oriented
fe'eba'o	ZAhO*		beyond		location event contour tense: perfective in space; beyond the place of ...
fe'eca'o	ZAhO*		throughout		location event contour tense: continuative in space; throughout the place of ...
fe'eco'a	ZAhO*		on this edge of		location event contour tense: initiative in space; on this edge of ...
fe'eco'i	ZAhO*		at the point of		location event contour tense: achievative in space; at the point of ...
fe'emo'u	ZAhO*		at the far end of		location event contour tense: completive in space; at the far end of ...
fe'enoroi	ROI*		nowhere		location tense interval modifier: never in space; objectively quantified tense
fe'epu'o	ZAhO*		up to the edge of		location event contour tense: anticipative in space; up to the edge of ...
fe'eroroi	ROI*		everywhere		location tense interval modifier: always in space; objectively quantified tense
fe'eza'o	ZAhO*		continuing too far		location event contour tense: superfective in space; continuing too far beyond ...
fe'i	VUhU1		divided by		n-ary mathematical operator: divided by; division operator; [(((a / b) / c) / ...)]
fe'o	COI		over and out		vocative: over and out (end discussion)
fe'u	FEhU		end modal selbri		elidable terminator: end nonce conversion of selbri to modal; usually elidable
febvi		feb	boil		x1 boils/evaporates at temperature x2 and pressure x3	[roil (= febjicla)]; (cf. dunja, lunsa, runme)
fei	PA2		hex digit B		digit/number: hex digit B (decimal 11) [eleven]
femti		fem	1E-15	metric 'femto'	x1 is 1x10**-15 of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
fendi		fed	divide		x1 (agent) divides/partitions/separates x2 into sections/parts/ind. x3 by method/partition x4	[also segments]; (cf. sepli, bitmu, fatri, dilcu, katna, frinu)
fengu		feg fe'u	angry		x1 is angry/mad at x2 for x3 (action/state/property)	(cf. fanza, dunku)
fenki		fek	crazy	'frenzy'	x1 (action/event) is crazy/insane/mad/frantic/in a frenzy (one sense) by standard x2	(cf. bebna, racli, xajmi)
fenra		fer fe'a	crack		x1 is a crack/fissure/pass/cleft/ravine/chasm/[defect/flaw] [shape/form] in x2	(cf. kevna, cfila, jinto)
fenso		fen fe'o	sew		x1 sews/stitches/sutures materials x2 (ind./set) together with tool(s) x3, using filament x4	(x2 if a set must be a complete specification); (cf. cilta, jivbu, jorne, nivji, pijne, lasna)
fepni		fep fei	cent	'penny'	x1 is measured in kopeck/cent money-subunits as x2 [quantity], in monetary system x3	[also pfennig, paisa, sen, fen, dinar, etc.; x1 is generally a price/cost/value]; (additional secondary, tertiary, etc. subunit places may be added as x4, x5, x6, ...); (cf. sicni, jdini, jdima, vecnu, rupnu, dekpu, gutci, minli, merli, bunda, kramu)
fepri			lung	'pulmonary'	x1 is a/the lung [body-part] of x2; [metaphor: breathing/respiratory apparatus/bellows]	[also (adjective:) x1 is pulmonary]; (cf. pambe, vasxu)
ferti		fre	fertile		x1 is fertile/conducive for supporting the growth/development of x2; x1 is fruitful/prolific	[also fecund (note that the Lojban covers both potential and actual/realized fertility)]; (cf. vanbi, sidju, rorci, farvi, banro, cange)
festi		fes	waste		x1(s) is/are waste product(s) [left to waste] by x2 (event/activity)	[also shit, crap; agentive wasting (= fesygau, fesyzu'e)]; (cf. xaksu, kalci, pinca)
fetsi		fet fe'i	female	'fem-'	x1 is a female/doe of species x2 evidencing feminine trait(s) x3 (ka); x1 is feminine	(cf. nakni)
fi	FA		3rd sumti place		sumti place tag: tag 3rd sumti place
fi'a	FA		sumti place ?		sumti place tag: place structure number/tag question
fi'e	BAI		created by		finti modal, 1st place (creator)                  created by ...
fi'i	COI		hospitality		vocative: hospitality - inhospitality; you are welcome/ make yourself at home
fi'inai	COI*		inhospitality		vocative: hospitality - inhospitality
fi'o	FIhO		selbri to modal		convert selbri to nonce modal/sumti tag
fi'u	PA3		fraction slash		digit/number: fraction slash; default "/n" => 1/n, "n/" => n/1, or "/" alone => golden ratio
figre		fig	fig		x1 is a fig [fruit/tree] of species/strain x2	(cf. grute)
filso		fis	Palestinian	'Philistine'	x1 reflects Palestinian culture/nationality in aspect x2	(cf. jordo, xebro)
finpe		fip fi'e	fish	'fin'	x1 is a fish of species x2 [metaphorical extension to sharks, non-fish aquatic vertebrates]	(cf. danlu)
finti		fin fi'i	invent		x1 invents/creates/composes/authors x2 for function/purpose x3 from existing elements/ideas x4	[x1 is creative/inventive]; (cf. cmavo list fi'e, ciska, pemci, zbasu, larcu, specific works of authorship, prosa, skina)
flalu		fla	law		x1 is a law specifying x2 (state/event) for community x3 under conditions x4 by lawgiver(s) x5	[x1 is a legality; x2 is legal/licit/legalized/a legality (= selfla for reordered places)]; (cf. javni, ritli, zekri, pulji, tinbe)
flani			flute		x1 is a flute/pipe/fife/recorder [flute-like/air-reed musical instrument]	(cf. zgike)
flecu		fle	flow	'flush'	x1 is a current/flow/river of/in x2 flowing in direction to/towards x3 from direction/source x4	[x1 is a stream of x2; x2 is a fluid [gas or liquid] (= selfle for reordered places); x1 flushes toward x3; flush (= caifle, sukfle)]; (cf. rirxe, senta where no directionality is implied, rinci, xampo, dikca, sakci, gapci, litki, ciblu)
fliba		fli	fail	'baffle'	x1 fails at doing x2 (state/event); x1 is a failure at its role in x2	[baffled (= pesfli, jmifli, dafspufli, menfli, among other senses); also x2 ceases/does not complete/fails to continue due to failure on the part of x1]; (cf. cfila, snada, srera, troci, sisti, ranji, denpa, bebna, zunti)
flira		fir	face		x1 is a/the face [head/body-part] of x2; (adjective:) x1 is facial	(cf. sefta, stedu, crane, mebri)
fo	FA		4th sumti place		sumti place tag: tag 4th sumti place
fo'a	KOhA4	fo'a	it-6		pro-sumti: he/she/it/they #6 (specified by goi)
fo'e	KOhA4	fo'e	it-7		pro-sumti: he/she/it/they #7 (specified by goi)
fo'i	KOhA4	fo'i	it-8		pro-sumti: he/she/it/they #8 (specified by goi)
fo'o	KOhA4		it-9		pro-sumti: he/she/it/they #9 (specified by goi)
fo'u	KOhA4		it-10		pro-sumti: he/she/it/they #10 (specified by goi)
foi	FOI		end composite lerfu		terminator: end composite lerfu; never elidable
foldi		flo foi	field		x1 is a field [shape/form] of material x2; x1 is a broad uniform expanse of x2	[also woods (= ricfoi), lawn/meadow (= sasfoi), brush (= spafoi, cicyspafoi)]; (cf. purdi, cange)
fonmo		fom fo'o	foam		x1 is a quantity of foam/froth/suds of material x2, with bubbles/vacuoles of material x3	(cf. zbabu)
fonxa		fon	telephone		x1 is a telephone transceiver/modem attached to system/network x2	(cf. tcana)
forca		fro	fork		x1 is a fork/fork-type tool/utensil for purpose x2 with tines/prongs x3 on base/support x4	(cf. dakfu, smuci, komcu, tutci)
fraso		fas	French	'France'	x1 reflects French/Gallic culture/nationality/language in aspect x2	(cf. ropno)
frati		fra	react		x1 reacts/responds/answers with action x2 to stimulus x3 under conditions x4; x1 is responsive	[x3 stimulates x1 into reaction x2, x3 stimulates reaction x2 (= terfra for place reordering); attempt to stimulate, prod (= terfratoi, tunterfratoi)]; (cf. preti, danfu, spuda, cpedu, tarti)
fraxu		fax	forgive		x1 forgives x2 for event/state/activity x3	(cf. dunda, curmi, zungi)
frica		fic	differ		x1 differs/is distinct from/contrasts with/is unlike x2 in property/dimension/quantity x3	[also other-than (less common meaning)]; (cf. ranxi, drata, dunli, simsa, vrici)
friko		fi'o	African		x1 reflects African culture/nationality/geography in aspect x2	(cf. ropno, xazdo)
frili		fil	easy	'freely'	x1 (action) is easy/simple/facile for x2 (agent) under conditions x3; x2 does x1 freely/easily	(cf. nandu, sampu, zifre)
frinu			fraction		x1 is a fraction, with numerator x2, denominator x3 (x2/x3)	(cf. parbi, dilcu, mekso, fendi)
friti		fit	offer		x1 offers/proffers x2 [offering] to x3 with conditions x4	[(x4 may be nu canja, nu pleji, etc.; an unconditional offering has the 'condition' of acceptance); x2 may be a specific object, a commodity (mass), an event, or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= posfriti, posyselfriti for unambiguous semantics)]; (cf. canja, dunda, rinsa, vecnu, jdima, cnemu, pleji, vitke)
frumu		fru	frown		x1 frowns/grimaces (facial expression)	[x1 frowns/grimaces at/in reaction to x2 (= frufra)]; (cf. cmila, cisma)
fu	FA		5th sumti place		sumti place tag: tag 5th sumti place
fu'a	FUhA		reverse Polish		reverse Polish mathematical expression (mex) operator flag
fu'e	FUhE		indicator scope		begin indicator long scope
fu'i	UI5		easy		attitudinal modifier: easy - difficult	(cf. frili)
fu'inai	UI*5		difficult		attitudinal modifier: easy - difficult
fu'o	FUhO		end indicator scope		end indicator long scope; terminates scope of all active indicators
fu'u	VUhU0		unspecif operator		n-ary mathematical operator: elliptical/unspecified mathematical expression (mex) operator
fukpi		fuk fu'i	copy		x1 is a copy/replica/duplicate/clone of x2 in form/medium x3 made by method x4 (event)	(cf. krefu, rapli, gidva); [borrowing (=fu'ivla)]
fulta		ful flu	float		x1 (passive) floats on/in fluid (gas/liquid) x2; x1 is buoyant	(cf. limna, bloti, sakli)
funca		fun fu'a	luck	'fortune'	x1 (event/property) is determined by the luck/fortune of x2; (note mabla/zabna not implied)	(cf. cunso, mabla, zabna)
fusra		fur	rotten	'rot'	x1 rots/decays/ferments with decay/fermentation agent x2; x1 is rotten/decayed/fermented	(cf. birje, vanju, vifne)
fuzme		fuz fu'e	responsible		x1 is responsible/accountable for x2 (action/resulting state) to judge/authority x3	(cf. bilga)
fy	BY2		f		letteral for f
ga	GA		fore or		logical connective: forethought all but tanru-internal or (with gi)
ga'a	BAI		to observer		zgana modal, 1st place                            to observer ... ; witnessed by ...
ga'e	BY1		upper-case shift		upper-case letteral shift
ga'i	UI5		hauteur		attitudinal modifier/honorific: hauteur - equal rank - meekness; used with one of lower rank	(cf. gapru, cnita)
ga'icu'i	UI*5		equal rank		attitudinal modifier/honorific: hauteur - equal rank - meekness; used with one of equal rank
ga'inai	UI*5		meekness		attitudinal modifier/honorific: hauteur - equal rank - meekness; used with one of higher rank
ga'o	GAhO		inclusive interval		closed interval bracket marker; mod. intervals in non-logical connectives; include boundaries
ga'u	FAhA2		above		location tense relation/direction; upwards/up from ...
gacri		gai	cover		x1 is a cover/[lid/top] for covering/concealing/sheltering x2	(cf. pilka, gapru, marbi, drudi, ve botpi, bitmu, calku)
gadri		gad	article		x1 is an article/descriptor labelling description x2 (text) in language x3 with semantics x4	[x2 is the noun phrase/sumti without the article/descriptor; description ((x1 with x2) = gadysu'i); note: 'determiner' has become the accepted general linguistics term, displacing 'article'; however, 'determiner' includes all words that can introduce a noun phrase/sumti, whether a description or not, such as pronoun possessives like lemi, quantifiers (especially in indefinites) like ci and su'o, and demonstratives like ti, ta, and tu; the term 'descriptor' in Lojban, is limited to words that introduce descriptions (excluding indefinites), such as those of selma'o LA and LE, their common compounds such as lemi, and possibly lenu]; 'article' typically refers only to a single word; Lojban assumes the broader meaning] (cf. valsi, cmavo)
gai	PA2		hex digit C		digit/number: hex digit C (decimal 12) [twelve]
galfi		gaf ga'i	modify	'alter'	x1 (event) modifies/alters/changes/transforms/converts x2 into x3	[causal, resultative change; agentive modification (= gafygau, gafyzu'e)]; (cf. stika for non-resultative, binxo for not-necessarily causal change, cenba for non-resultative change; zasni)
galtu		gal ga'u	high		x1 is high/up/upward in frame of reference x2 as compared with baseline/standard height x3	[also upper; x3 is generally some defined distance above a zero point/baseline, or is that baseline itself]; (cf. gapru, dizlo, cnita, drudi, farna)
galxe			throat	'gullet'	x1 is a/the throat/gullet [body-part] of x2; [metaphor: narrow(ing) opening of a deep hole]	(cf. cnebo, kevna, tunlo)
ganai	GA*		fore only if		logical connective: forethought all but tanru-internal conditional/only if (with gi)
ganlo		ga'o	closed		x1 (portal/passage/entrance-way) is closed/shut/not open, preventing passage/access to x2 by x3	[as a doorway, but also perhaps a semi-permeable membrane]; (cf. kalri, pagre, canko, vorme, zunti)
ganra		gan	broad		x1 is broad/wide in dimension x2 [2nd most significant dimension] by standard x3	(cf. clani, jarki, rotsu, condi, barda, gutci, minli)
ganse		gas ga'e	sense		x1 [observer] senses/detects/notices stimulus property x2 (ka) by means x3 under conditions x4	[x1 is sensitive to x2; also feels, spots, perceives, makes out, discerns/recognizes (but only implying reaction without necessarily any significant mental processing); note that the emphasis is on a property which stimulates x1 and is detected (sanji is passive about the sensing, and is not limited to sensory input, as well as presuming some kind of discernment/recognition, while not being concerned with the means of detection); x3 sense/sensory channel]; (cf. pencu, sanji, viska, sumne, tirna, zgana, canci, simlu)
ganti			gonad	'testes'	x1 is a/the testes/ovary/testicle/scrotum/balls/gonad/stamen/pistil [body-part] of x2, gender x3	[egg/sperm/pollen/gamete producing/bearing organ]; (cf. plibu, sovda, pinji, gutra, mabla)
ganxo		gax	anus	'asshole/arsehole'	x1 is a/the anus/anal orifice/asshole/arsehole [body-part] of x2; [metaphor: exit, waste exit]	[also asshole/ass/arsehole; (adjective:) x1 is anal]; (cf. zargu, kalci, mabla, rinci)
ganzu		gaz	organize		x1 organizes x2 [relative chaos] into x3 [ordered/organized result] by system/principle(s) x4	[x3 is also a system; x4 could be merely a function which inherently serves to dictate the organizational structure of x3]; (cf. ciste, morna, stura, bilni, cabra)
gapci		gac	gas		x1 is gaseous/fumes/a gas/vapor of material/composition including x2, under conditions x3	[x3 includes temperature and pressure]; (cf. pambe, vacri, litki, sligu, danmo, bumru, cidro, flecu)
gapru		gap	above	'up'	x1 is directly/vertically above/upwards-from x2 in gravity/frame of reference x3	(cf. tsani, galtu, cnita, drudi, gacri, dizlo, farna)
garna		gar	rail	'bar'	x1 is a rail/railing/bar [tool] supporting/restraining x2, of material x3	(cf. kamju, grana, tutci)
gasnu		gau	do		x1 [person/agent] is an agentive cause of event x2; x1 does/brings about x2	(cf. cmavo list gau, gunka, zukte, rinka, fasnu for non-agentive events, jibri, kakne, pilno)
gasta		gat	steel		x1 is a quantity of/is made of/contains steel of composition including x2	(cf. jinme, molki, tirse)
gau	BAI		with active agent		gasnu modal, 1st place agent/actor case tag       with active agent ...
ge	GA		fore and		logical connective: forethought all but tanru-internal and (with gi)
ge'a	VUhU0		null operator		mathematical operator: null mathematical expression (mex) operator (used in >2-ary ops)
ge'e	UI6		unspecif emotion		attitudinal: elliptical/unspecified/non-specific emotion; no particular feeling
ge'i	GA		fore conn ?		logical connective: forethought all but tanru-internal connective question (with gi)
ge'o	BY1		Greek shift		shift letterals to Greek alphabet
ge'u	GEhU		end relative phrase		elidable terminator: end relative/modal phrases; usually elidable in non-complex phrases
